gueltigAb, von       ,bis      ,pauschale ,promille ,offset
2025-04-22,      0.01 ,150      ,       25 ,         ,      
2025-04-22,    150.01 ,300      ,       54 ,         ,      
2025-04-22,    300.01 ,700      ,       92 ,         ,      
2025-04-22,    700.01 ,2000     ,      189 ,         ,      
2025-04-22,   2000.01 ,3500     ,      374 ,         ,      
2025-04-22,   3500.01 ,7000     ,      749 ,         ,      
2025-04-22,   7000.01 ,35000    ,     1500 ,         ,      
2025-04-22,  35000.01 ,70000    ,     2815 ,         ,      
2025-04-22,  70000.01 ,140000   ,     5634 ,         ,      
2025-04-22, 140000.01 ,210000   ,     8449 ,         ,      
2025-04-22, 210000.01 ,280000   ,     11265 ,         ,      
2025-04-22, 280000.01 ,350000   ,    14083 ,         ,      
2025-04-22, 350000.01 ,infinity ,          ,      18 ,  10106
